,temperature,replicate,combination,richness,inv_community_CV,resist
165,19,1,"Tetra, Loxo, Para, Spiro",4,3.382771021,-0.003420316
166,19,1,"Tetra, Para",2,1.514232008,-0.006468762
167,19,1,"Tetra, Para, Dexio",3,1.580033711,-0.00656909
168,19,1,"Tetra, Spiro",2,2.010969399,0.00944872
169,19,2,Colp,1,2.228278561,0.003811948
170,19,2,"Colp, Dexio",2,1.894091979,-0.004490339
171,19,2,"Colp, Dexio, Loxo, Para",4,2.825550637,-0.0054466
172,19,2,"Colp, Dexio, Loxo, Para, Spiro",5,2.416607426,-0.013672358
173,19,2,"Colp, Dexio, Loxo, Spiro",4,3.144963457,-0.004114112
174,19,2,"Colp, Dexio, Para, Spiro",4,2.457400895,0.001386755
175,19,2,"Colp, Loxo",2,2.653306111,-0.005278035
176,19,2,"Colp, Loxo, Dexio",3,2.222249505,-0.005494173
177,19,2,"Colp, Loxo, Para, Spiro",4,3.973360144,-0.006757016
178,19,2,"Colp, Para",2,2.149059954,6.33021E-05
179,19,2,"Colp, Para, Dexio",3,2.410030737,0.001073197
180,19,2,"Colp, Spiro",2,2.182665087,0.005302097
181,19,2,"Colp, Tetra, Loxo",3,2.873947864,-0.002322288
182,19,2,Dexio,1,0.899033201,0.005949239
183,19,2,"Dexio, Loxo",2,2.7832012,-0.003283772
184,19,2,"Dexio, Loxo, Para, Spiro",4,2.890910602,-0.007002643
185,19,2,"Dexio, Para",2,2.419318719,0.000330102
186,19,2,"Dexio, Spiro",2,2.192715432,0.001518991
187,19,2,Loxo,1,1.505607064,0.017076824
188,19,2,"Loxo, Para",2,1.887965658,-0.016740984
189,19,2,"Loxo, Spiro",2,2.391692262,0.004965035
190,19,2,Para,1,NA,-0.019336924
191,19,2,"Para, Spiro",2,1.941946574,-0.005461948
192,19,2,Spiro,1,1.856184937,0.011431918
193,19,2,"Spiro, Colp, Para",3,2.84979806,-0.000590258
194,19,2,"Spiro, Colp, Tetra",3,2.915326662,0.009032769
195,19,2,"Spiro, Loxo, Dexio",3,3.226138796,0.002573188
196,19,2,"Spiro, Loxo, Para",3,2.420323717,0.00213119
197,19,2,"Spiro, Tetra, Dexio",3,2.34415709,0.000601037
198,19,2,Tetra,1,0.509215426,-0.001799263
199,19,2,"Tetra, Colp",2,2.403306141,0.002790672
200,19,2,"Tetra, Colp, Dexio, Loxo",4,2.438187347,-0.002534111
201,19,2,"Tetra, Colp, Dexio, Loxo, Para",5,3.812539452,-0.005747171
202,19,2,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,2.769143546,-0.009210708
203,19,2,"Tetra, Colp, Dexio, Loxo, Spiro",5,2.36331146,-0.000387407
204,19,2,"Tetra, Colp, Dexio, Para",4,1.749032752,-0.009358145
205,19,2,"Tetra, Colp, Dexio, Para, Spiro",5,2.312230982,0.002900199
206,19,2,"Tetra, Colp, Dexio, Spiro",4,2.61028771,-0.001869276
207,19,2,"Tetra, Colp, Loxo, Para",4,2.732719218,-0.027441306
208,19,2,"Tetra, Colp, Loxo, Para, Spiro",5,2.684875528,-0.005408641
209,19,2,"Tetra, Colp, Loxo, Spiro",4,2.246471184,0.008645446
210,19,2,"Tetra, Colp, Para, Spiro",4,2.811393881,0.000253383
